TEMP,pvdd,Cqload,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,delay_nodea
98.65807584414816,0.968382712686092,4.855747179249889,4.930597957372188e-08,2.438627948551164e-07,9.194827044627644e-10,8.905030122759536e-10,8.716296209328161e-10,6.635952848937215e-10,1.3911704502817007e-08,6.295047084558892e+18,9.658420374362724e-10,9.247931215264999e-10,9.472796186381084e-10,6.646923362953602e-10,1.5017809352361965e-08,2.756314338404845e+18,9.3847405e-12
3.05309304438002,0.9936048303784084,3.948597167003751,4.927484115104896e-08,2.477184288258994e-07,9.221086272014471e-10,8.952886371185993e-10,8.674326584920937e-10,6.425180530013085e-10,1.444718903530846e-08,6.453566849965283e+18,9.371325929685347e-10,9.00898249908943e-10,8.71943958745633e-10,6.591769308586929e-10,1.428887888100368e-08,2.92081580238779e+18,7.7794415e-12
71.40431655316199,0.9923419873735548,2.796191690661288,4.563619129854861e-08,2.5862891100579434e-07,9.307056900964615e-10,8.976431016076742e-10,8.92985896665805e-10,6.614374934599648e-10,1.4238925535568317e-08,6.330006483718583e+18,9.27188553720267e-10,9.58369356056686e-10,9.148184124961557e-10,7.030404753891604e-10,1.3456859638573812e-08,2.8223455933071406e+18,5.0126995e-12
-15.597920601830062,0.9955312240882715,0.7982112407280517,4.6318713482425356e-08,2.51078605965488e-07,9.151174100684107e-10,9.440726212799312e-10,9.326754109185594e-10,6.341093480919911e-10,1.3902467382086536e-08,6.273316796975643e+18,8.6044278128497e-10,8.871668620455379e-10,8.929574592537585e-10,6.284677949819674e-10,1.4078805490296896e-08,2.812674179032247e+18,2.4908514999999997e-12
48.22280654955428,1.0472903261175142,1.6515222797714226,4.714691957174013e-08,2.330008789255895e-07,9.154197608480583e-10,8.861580291154357e-10,8.775168601274121e-10,6.82170913386633e-10,1.373662135376742e-08,6.217996164004088e+18,8.842142194347016e-10,9.17920247422764e-10,9.131525922310165e-10,6.410570609876246e-10,1.4645727470929943e-08,2.996283218813788e+18,3.944538e-12
-19.15324300187953,0.902283055547114,0.0861617672252921,4.467001460498453e-08,2.4549096531987015e-07,9.286924493141977e-10,8.788176520157165e-10,8.797299592597151e-10,6.28015794289585e-10,1.4247371010425445e-08,6.641145114595911e+18,9.655410731336598e-10,9.403245590814895e-10,9.066665886393339e-10,6.415970301198862e-10,1.3821186846928966e-08,2.721447130109716e+18,1.3772769999999998e-12
71.10707474999711,1.0576249508189934,0.235148571573049,4.515393757050653e-08,2.503450238377219e-07,8.909623169561874e-10,9.071897255358701e-10,9.14209610048418e-10,6.496807005127757e-10,1.3240826951581982e-08,6.529436066919561e+18,9.138105295681083e-10,9.201565808711067e-10,8.816140404763591e-10,6.819762613147619e-10,1.377671413379306e-08,2.802543496451576e+18,1.5277185e-12
-52.00244847038122,1.0332051833123583,3.172404325672299,4.5813425471524377e-08,2.442864649732313e-07,9.029950515746031e-10,9.163451822594527e-10,9.16328528297275e-10,6.521952663596346e-10,1.3571845564594792e-08,6.257482575765688e+18,9.22880847279314e-10,9.76006745821596e-10,8.794668084362855e-10,6.656335727459344e-10,1.3149554848915909e-08,2.811875852860649e+18,5.701136e-12
108.80476328385993,0.9494325691419456,0.6537342534136983,4.875558224611527e-08,2.440397761797186e-07,8.583327685943711e-10,9.54865860819844e-10,9.475395671475847e-10,6.646900605831285e-10,1.4225676475185853e-08,6.420960675993672e+18,8.811208462044648e-10,9.121926361043227e-10,8.968503402637092e-10,6.316298124183285e-10,1.3171791195311784e-08,2.811116306089273e+18,2.6299775e-12
41.4796846521303,1.0707350144362855,3.696807082736485,4.6141650082240306e-08,2.429871499219954e-07,8.790658431071691e-10,9.113699242120199e-10,8.58481014592353e-10,6.39324978604517e-10,1.4273657139082793e-08,6.463302698715542e+18,9.224833028266939e-10,9.131998567056607e-10,9.18755261203524e-10,6.701314340349965e-10,1.4258640242611852e-08,2.7877987855215805e+18,6.4614914999999994e-12
