Vin_A,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0,89.82506769226336,0.8271569481208647,2.4830979762753423e-08,2.431734854290337e-07,6.698290949147532e-10,6.468368926071116e-10,6.444325139940865e-10,3.9305418294370766e-10,7.603031409676126e-09,1.2175951336439816e+19,6.467303607576975e-10,6.63310410919902e-10,7.06298969745045e-10,3.9889731423016727e-10,7.330130822296747e-09,4.367330939193751e+18,7.250172160853244e-08
1,89.82506769226336,0.8271569481208647,2.4830979762753423e-08,2.431734854290337e-07,6.698290949147532e-10,6.468368926071116e-10,6.444325139940865e-10,3.9305418294370766e-10,7.603031409676126e-09,1.2175951336439816e+19,6.467303607576975e-10,6.63310410919902e-10,7.06298969745045e-10,3.9889731423016727e-10,7.330130822296747e-09,4.367330939193751e+18,4.862016123371412e-07
0,-31.238427342955447,0.9741954180784917,2.285655230711111e-08,2.28130997191512e-07,6.63732038403701e-10,6.434459073667724e-10,6.620427829505824e-10,3.9633549918292636e-10,7.507919021948529e-09,1.2264918931050396e+19,7.139742641839545e-10,6.550059599978086e-10,6.773528565829024e-10,4.006247784502012e-10,6.97612370603723e-09,4.338429877300812e+18,3.771669798942496e-08
1,-31.238427342955447,0.9741954180784917,2.285655230711111e-08,2.28130997191512e-07,6.63732038403701e-10,6.434459073667724e-10,6.620427829505824e-10,3.9633549918292636e-10,7.507919021948529e-09,1.2264918931050396e+19,7.139742641839545e-10,6.550059599978086e-10,6.773528565829024e-10,4.006247784502012e-10,6.97612370603723e-09,4.338429877300812e+18,3.928369826537398e-07
0,67.68344178220306,0.9573146021530294,2.3083056426642025e-08,2.3736149643476362e-07,6.249880319143015e-10,6.832101748392497e-10,6.288859911891083e-10,3.9089235177807137e-10,7.215626353670042e-09,1.2171643234910394e+19,6.331297627837206e-10,6.678641301628016e-10,6.88506556509337e-10,4.41565948409172e-10,7.063950456963255e-09,4.4122952991611904e+18,1.4460796917546337e-07
1,67.68344178220306,0.9573146021530294,2.3083056426642025e-08,2.3736149643476362e-07,6.249880319143015e-10,6.832101748392497e-10,6.288859911891083e-10,3.9089235177807137e-10,7.215626353670042e-09,1.2171643234910394e+19,6.331297627837206e-10,6.678641301628016e-10,6.88506556509337e-10,4.41565948409172e-10,7.063950456963255e-09,4.4122952991611904e+18,8.93671078911574e-07
0,-13.67771643692759,0.9431906810914558,2.2806319960826244e-08,2.267594957118668e-07,6.886243817908636e-10,6.243430144625882e-10,6.487970985311513e-10,4.0599933774736494e-10,7.256296650138243e-09,1.2297932239789662e+19,6.706985430599736e-10,6.443564662564026e-10,6.522829423068835e-10,3.7075264711912577e-10,7.277389410960089e-09,4.489929347045809e+18,3.7434883711213044e-08
1,-13.67771643692759,0.9431906810914558,2.2806319960826244e-08,2.267594957118668e-07,6.886243817908636e-10,6.243430144625882e-10,6.487970985311513e-10,4.0599933774736494e-10,7.256296650138243e-09,1.2297932239789662e+19,6.706985430599736e-10,6.443564662564026e-10,6.522829423068835e-10,3.7075264711912577e-10,7.277389410960089e-09,4.489929347045809e+18,3.808868761798415e-07
0,90.5443353802316,0.948832641360999,2.210948160067724e-08,2.226440405334387e-07,6.895616357617096e-10,6.480996941217753e-10,6.61562979775326e-10,4.0799685839096017e-10,7.042502051966534e-09,1.2254493223217834e+19,7.385845597538146e-10,6.719165308306583e-10,6.72561839456461e-10,4.048939829361859e-10,7.476156479742744e-09,4.520483190497706e+18,3.0667550894669257e-07
1,90.5443353802316,0.948832641360999,2.210948160067724e-08,2.226440405334387e-07,6.895616357617096e-10,6.480996941217753e-10,6.61562979775326e-10,4.0799685839096017e-10,7.042502051966534e-09,1.2254493223217834e+19,7.385845597538146e-10,6.719165308306583e-10,6.72561839456461e-10,4.048939829361859e-10,7.476156479742744e-09,4.520483190497706e+18,1.4350121484294995e-06
